invoice_line_no,date,itemno,pack,sale_bottles,sale_dollars,state_bottle_retail,vendor_no
S03416800036,2012-01-04T00:00:00.000,19068,6,2,55.1,27.55,65
S03434400071,2012-01-04T00:00:00.000,19068,6,1,27.55,27.55,65
S03419300007,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03423000026,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03427100016,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03429500014,2012-01-04T00:00:00.000,19068,6,3,82.65,27.55,65
S03430200048,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03432500031,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03419800003,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03386900011,2012-01-05T00:00:00.000,19068,6,2,55.1,27.55,65
S03456200007,2012-01-05T00:00:00.000,19068,6,6,165.3,27.55,65
S03457200033,2012-01-05T00:00:00.000,19068,6,4,110.2,27.55,65
S03442300001,2012-01-05T00:00:00.000,19068,6,6,165.3,27.55,65
S03443200005,2012-01-05T00:00:00.000,19068,6,6,165.3,27.55,65
S03445600002,2012-01-05T00:00:00.000,19068,6,6,165.3,27.55,65
S03449800004,2012-01-05T00:00:00.000,19068,6,6,165.3,27.55,65
S03455800079,2012-01-05T00:00:00.000,19068,6,1,27.55,27.55,65
S03434300017,2012-01-05T00:00:00.000,19068,6,2,55.1,27.55,65
S03450200009,2012-01-05T00:00:00.000,19068,6,6,165.3,27.55,65
S03450900026,2012-01-05T00:00:00.000,19068,6,6,165.3,27.55,65
S03451600005,2012-01-05T00:00:00.000,19068,6,6,165.3,27.55,65
S03480000105,2012-01-09T00:00:00.000,19068,6,2,55.1,27.55,65
S03488300032,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03489300004,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03460000004,2012-01-09T00:00:00.000,19068,6,3,82.65,27.55,65
S03462700005,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03463300002,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03469000018,2012-01-09T00:00:00.000,19068,6,2,55.1,27.55,65
S03471500026,2012-01-09T00:00:00.000,19068,6,1,27.55,27.55,65
S03472300004,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03472700039,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03486500003,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03485800003,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03485000002,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03484500049,2012-01-09T00:00:00.000,19068,6,1,27.55,27.55,65
S03484200029,2012-01-09T00:00:00.000,19068,6,1,27.55,27.55,65
S03483600020,2012-01-09T00:00:00.000,19068,6,1,27.55,27.55,65
S03483300021,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03481100036,2012-01-09T00:00:00.000,19068,6,2,55.1,27.55,65
S03480200003,2012-01-09T00:00:00.000,19068,6,6,165.3,27.55,65
S03477400010,2012-01-09T00:00:00.000,19068,6,3,82.65,27.55,65
S03500500049,2012-01-10T00:00:00.000,19068,6,1,27.55,27.55,65
S03498700007,2012-01-10T00:00:00.000,19068,6,6,165.3,27.55,65
S03490500014,2012-01-10T00:00:00.000,19068,6,2,55.1,27.55,65
S03490000023,2012-01-10T00:00:00.000,19068,6,1,27.55,27.55,65
S03487900003,2012-01-10T00:00:00.000,19068,6,18,495.9,27.55,65
S03500600016,2012-01-10T00:00:00.000,19068,6,6,165.3,27.55,65
S03503300079,2012-01-10T00:00:00.000,19068,6,2,55.1,27.55,65
S03503600008,2012-01-10T00:00:00.000,19068,6,1,27.55,27.55,65
S03505200009,2012-01-10T00:00:00.000,19068,6,6,165.3,27.55,65
S03495100033,2012-01-10T00:00:00.000,19068,6,6,165.3,27.55,65
S03505700026,2012-01-10T00:00:00.000,19068,6,2,55.1,27.55,65
S03511800012,2012-01-10T00:00:00.000,19068,6,6,165.3,27.55,65
S03512100013,2012-01-10T00:00:00.000,19068,6,6,165.3,27.55,65
S03516700030,2012-01-10T00:00:00.000,19068,6,2,55.1,27.55,65
S03494000044,2012-01-10T00:00:00.000,19068,6,2,55.1,27.55,65
S03490700012,2012-01-10T00:00:00.000,19068,6,6,165.3,27.55,65
S03477000003,2012-01-10T00:00:00.000,19068,6,6,165.3,27.55,65
S03499300034,2012-01-10T00:00:00.000,19068,6,6,165.3,27.55,65
S03510900002,2012-01-11T00:00:00.000,19068,6,6,165.3,27.55,65
S03515800037,2012-01-11T00:00:00.000,19068,6,6,165.3,27.55,65
S03519800005,2012-01-11T00:00:00.000,19068,6,6,165.3,27.55,65
S03520900012,2012-01-11T00:00:00.000,19068,6,6,165.3,27.55,65
S03525800020,2012-01-11T00:00:00.000,19068,6,6,165.3,27.55,65
S03527200013,2012-01-11T00:00:00.000,19068,6,60,1653,27.55,65
S03529700018,2012-01-11T00:00:00.000,19068,6,3,82.65,27.55,65
S03531300006,2012-01-11T00:00:00.000,19068,6,6,165.3,27.55,65
S03538800024,2012-01-11T00:00:00.000,19068,6,6,165.3,27.55,65
S03541000069,2012-01-11T00:00:00.000,19068,6,1,27.55,27.55,65
S03550900015,2012-01-12T00:00:00.000,19068,6,6,165.3,27.55,65
S03538900006,2012-01-12T00:00:00.000,19068,6,6,165.3,27.55,65
S03561600116,2012-01-12T00:00:00.000,19068,6,6,165.3,27.55,65
S03558900004,2012-01-12T00:00:00.000,19068,6,6,165.3,27.55,65
S03558100005,2012-01-12T00:00:00.000,19068,6,6,165.3,27.55,65
S03545700007,2012-01-12T00:00:00.000,19068,6,6,165.3,27.55,65
S03549100005,2012-01-12T00:00:00.000,19068,6,6,165.3,27.55,65
S03562500017,2012-01-12T00:00:00.000,19068,6,6,165.3,27.55,65
S03578600028,2012-01-16T00:00:00.000,19068,6,6,165.3,27.55,65
S03570400005,2012-01-16T00:00:00.000,19068,6,6,165.3,27.55,65
S03570100002,2012-01-16T00:00:00.000,19068,6,6,165.3,27.55,65
S03565600016,2012-01-16T00:00:00.000,19068,6,3,82.65,27.55,65
S03564300008,2012-01-16T00:00:00.000,19068,6,24,661.2,27.55,65
S03567700006,2012-01-16T00:00:00.000,19068,6,6,165.3,27.55,65
S03591500025,2012-01-16T00:00:00.000,19068,6,6,165.3,27.55,65
S03592300015,2012-01-16T00:00:00.000,19068,6,6,165.3,27.55,65
S03593800012,2012-01-16T00:00:00.000,19068,6,6,165.3,27.55,65
S03590700004,2012-01-16T00:00:00.000,19068,6,42,1157.1,27.55,65
S03575600010,2012-01-16T00:00:00.000,19068,6,2,55.1,27.55,65
S03587700073,2012-01-16T00:00:00.000,19068,6,2,55.1,27.55,65
S03570700053,2012-01-16T00:00:00.000,19068,6,6,165.3,27.55,65
S03586800013,2012-01-16T00:00:00.000,19068,6,6,165.3,27.55,65
S03586300016,2012-01-16T00:00:00.000,19068,6,2,55.1,27.55,65
S03584900045,2012-01-16T00:00:00.000,19068,6,2,55.1,27.55,65
S03584400027,2012-01-16T00:00:00.000,19068,6,2,55.1,27.55,65
S03580800069,2012-01-16T00:00:00.000,19068,6,6,165.3,27.55,65
S03580100016,2012-01-16T00:00:00.000,19068,6,42,1157.1,27.55,65
S03579300005,2012-01-16T00:00:00.000,19068,6,18,495.9,27.55,65
S03614500063,2012-01-17T00:00:00.000,19068,6,1,27.55,27.55,65
S03617700012,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03621600030,2012-01-17T00:00:00.000,19068,6,1,27.55,27.55,65
S03596200004,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03602100010,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03596600003,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03597500002,2012-01-17T00:00:00.000,19068,6,24,661.2,27.55,65
S03597600006,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03598300003,2012-01-17T00:00:00.000,19068,6,30,826.5,27.55,65
S03599100032,2012-01-17T00:00:00.000,19068,6,3,82.65,27.55,65
S03600500011,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03601400006,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03601900018,2012-01-17T00:00:00.000,19068,6,1,27.55,27.55,65
S03603500001,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03605100002,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03605200058,2012-01-17T00:00:00.000,19068,6,1,27.55,27.55,65
S03605300036,2012-01-17T00:00:00.000,19068,6,1,27.55,27.55,65
S03606000141,2012-01-17T00:00:00.000,19068,6,3,82.65,27.55,65
S03608200026,2012-01-17T00:00:00.000,19068,6,2,55.1,27.55,65
S03608500061,2012-01-17T00:00:00.000,19068,6,3,82.65,27.55,65
S03610700007,2012-01-17T00:00:00.000,19068,6,2,55.1,27.55,65
S03612500014,2012-01-17T00:00:00.000,19068,6,60,1653,27.55,65
S03613500003,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03613800039,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03614900041,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03615200032,2012-01-17T00:00:00.000,19068,6,3,82.65,27.55,65
S03616400023,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03618600007,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03601700006,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03609600009,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03587200013,2012-01-17T00:00:00.000,19068,6,6,165.3,27.55,65
S03646700006,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03645800022,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03647400027,2012-01-18T00:00:00.000,19068,6,2,55.1,27.55,65
S03644400008,2012-01-18T00:00:00.000,19068,6,2,55.1,27.55,65
S03641700003,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03639700028,2012-01-18T00:00:00.000,19068,6,3,82.65,27.55,65
S03645600056,2012-01-18T00:00:00.000,19068,6,3,82.65,27.55,65
S03645000024,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03640000002,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03638400010,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03637700010,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03637400013,2012-01-18T00:00:00.000,19068,6,2,55.1,27.55,65
S03637300010,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03635800007,2012-01-18T00:00:00.000,19068,6,1,27.55,27.55,65
S03635300029,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03632300002,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03629300001,2012-01-18T00:00:00.000,19068,6,54,1487.7,27.55,65
S03627300005,2012-01-18T00:00:00.000,19068,6,6,165.3,27.55,65
S03626600001,2012-01-18T00:00:00.000,19068,6,264,7273.2,27.55,65
S03625800001,2012-01-18T00:00:00.000,19068,6,72,1983.6,27.55,65
S03625600001,2012-01-18T00:00:00.000,19068,6,348,9587.4,27.55,65
S03646600011,2012-01-18T00:00:00.000,19068,6,1,27.55,27.55,65
S03649400002,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03661500016,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03649300069,2012-01-19T00:00:00.000,19068,6,90,2479.5,27.55,65
S03650000012,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03651600017,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03655500022,2012-01-19T00:00:00.000,19068,6,1,27.55,27.55,65
S03655800009,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03658100009,2012-01-19T00:00:00.000,19068,6,2,55.1,27.55,65
S03661000003,2012-01-19T00:00:00.000,19068,6,42,1157.1,27.55,65
S03662200012,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03664700003,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03665900099,2012-01-19T00:00:00.000,19068,6,2,55.1,27.55,65
S03666100026,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03667400006,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03667700041,2012-01-19T00:00:00.000,19068,6,12,330.6,27.55,65
S03668700019,2012-01-19T00:00:00.000,19068,6,1,27.55,27.55,65
S03669000027,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03669300007,2012-01-19T00:00:00.000,19068,6,6,165.3,27.55,65
S03626200001,2012-01-23T00:00:00.000,19068,6,168,4628.4,27.55,65
S03681000021,2012-01-23T00:00:00.000,19068,6,2,55.1,27.55,65
S03678200003,2012-01-23T00:00:00.000,19068,6,6,165.3,27.55,65
S03672700026,2012-01-23T00:00:00.000,19068,6,3,82.65,27.55,65
S03671900024,2012-01-23T00:00:00.000,19068,6,6,165.3,27.55,65
S03701000029,2012-01-23T00:00:00.000,19068,6,6,165.3,27.55,65
S03699900029,2012-01-23T00:00:00.000,19068,6,1,27.55,27.55,65
S03693500017,2012-01-23T00:00:00.000,19068,6,6,165.3,27.55,65
S03689600020,2012-01-23T00:00:00.000,19068,6,60,1653,27.55,65
S03689500043,2012-01-23T00:00:00.000,19068,6,6,165.3,27.55,65
S03688300011,2012-01-23T00:00:00.000,19068,6,6,165.3,27.55,65
S03686500001,2012-01-23T00:00:00.000,19068,6,6,165.3,27.55,65
S03686400005,2012-01-23T00:00:00.000,19068,6,6,165.3,27.55,65
S03685200003,2012-01-23T00:00:00.000,19068,6,6,165.3,27.55,65
S03683200072,2012-01-23T00:00:00.000,19068,6,2,55.1,27.55,65
S03689100005,2012-01-23T00:00:00.000,19068,6,24,661.2,27.55,65
S03626400001,2012-01-23T00:00:00.000,19068,6,132,3636.6,27.55,65
S03717800026,2012-01-24T00:00:00.000,19068,6,1,27.55,27.55,65
S03725800051,2012-01-24T00:00:00.000,19068,6,1,27.55,27.55,65
S03625900001,2012-01-24T00:00:00.000,19068,6,54,1487.7,27.55,65
S03629200001,2012-01-24T00:00:00.000,19068,6,138,3801.9,27.55,65
S03728200094,2012-01-24T00:00:00.000,19068,6,2,55.1,27.55,65
S03705700029,2012-01-24T00:00:00.000,19068,6,2,55.1,27.55,65
S03709000032,2012-01-24T00:00:00.000,19068,6,2,55.1,27.55,65
S03705400022,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03705500011,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03705800011,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03706700007,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03706900023,2012-01-24T00:00:00.000,19068,6,2,55.1,27.55,65
S03707900002,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03680800006,2012-01-24T00:00:00.000,19068,6,12,330.6,27.55,65
S03711500005,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03713200048,2012-01-24T00:00:00.000,19068,6,1,27.55,27.55,65
S03714000032,2012-01-24T00:00:00.000,19068,6,1,27.55,27.55,65
S03714600009,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03716300003,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03719300018,2012-01-24T00:00:00.000,19068,6,1,27.55,27.55,65
S03720700001,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03721400004,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03723800008,2012-01-24T00:00:00.000,19068,6,2,55.1,27.55,65
S03726100031,2012-01-24T00:00:00.000,19068,6,2,55.1,27.55,65
S03726800026,2012-01-24T00:00:00.000,19068,6,2,55.1,27.55,65
S03727700014,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03728000039,2012-01-24T00:00:00.000,19068,6,6,165.3,27.55,65
S03752900002,2012-01-25T00:00:00.000,19068,6,6,165.3,27.55,65
S03744800013,2012-01-25T00:00:00.000,19068,6,6,165.3,27.55,65
S03735500011,2012-01-25T00:00:00.000,19068,6,2,55.1,27.55,65
S03751700033,2012-01-25T00:00:00.000,19068,6,42,1157.1,27.55,65
S03758500116,2012-01-25T00:00:00.000,19068,6,1,27.55,27.55,65
S03750300012,2012-01-25T00:00:00.000,19068,6,1,27.55,27.55,65
S03749500046,2012-01-25T00:00:00.000,19068,6,1,27.55,27.55,65
S03749300013,2012-01-25T00:00:00.000,19068,6,1,27.55,27.55,65
S03749000006,2012-01-25T00:00:00.000,19068,6,6,165.3,27.55,65
S03755800038,2012-01-25T00:00:00.000,19068,6,1,27.55,27.55,65
S03749100013,2012-01-25T00:00:00.000,19068,6,12,330.6,27.55,65
S03755600005,2012-01-25T00:00:00.000,19068,6,6,165.3,27.55,65
S03755200017,2012-01-25T00:00:00.000,19068,6,6,165.3,27.55,65
S03754000013,2012-01-25T00:00:00.000,19068,6,6,165.3,27.55,65
S03735100005,2012-01-25T00:00:00.000,19068,6,6,165.3,27.55,65
S03753900076,2012-01-25T00:00:00.000,19068,6,1,27.55,27.55,65
S03750900016,2012-01-25T00:00:00.000,19068,6,6,165.3,27.55,65
S03732700001,2012-01-25T00:00:00.000,19068,6,6,165.3,27.55,65
S03724500052,2012-01-25T00:00:00.000,19068,6,2,55.1,27.55,65
S03757100011,2012-01-25T00:00:00.000,19068,6,6,165.3,27.55,65
S03764400009,2012-01-26T00:00:00.000,19068,6,3,82.65,27.55,65
S03765900014,2012-01-26T00:00:00.000,19068,6,12,330.6,27.55,65
S03780500054,2012-01-26T00:00:00.000,19068,6,12,330.6,27.55,65
S03782100035,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03760800007,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03761200045,2012-01-26T00:00:00.000,19068,6,2,55.1,27.55,65
S03763500026,2012-01-26T00:00:00.000,19068,6,2,55.1,27.55,65
S03767400004,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03769000003,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03770500031,2012-01-26T00:00:00.000,19068,6,3,82.65,27.55,65
S03770700036,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03760300029,2012-01-26T00:00:00.000,19068,6,36,991.8,27.55,65
S03771600061,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03771900005,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03738100005,2012-01-26T00:00:00.000,19068,6,12,330.6,27.55,65
S03772300004,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03772800003,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03773300010,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03777500002,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03778100004,2012-01-26T00:00:00.000,19068,6,6,165.3,27.55,65
S03780000027,2012-01-26T00:00:00.000,19068,6,1,27.55,27.55,65
S03811100006,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03791600022,2012-01-30T00:00:00.000,19068,6,2,55.1,27.55,65
S03793100063,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03793500017,2012-01-30T00:00:00.000,19068,6,1,27.55,27.55,65
S03794800148,2012-01-30T00:00:00.000,19068,6,2,55.1,27.55,65
S03795400006,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03801200003,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03802700010,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03804100014,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03805700051,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03807300026,2012-01-30T00:00:00.000,19068,6,2,55.1,27.55,65
S03807800002,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03813500006,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03814000011,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03814100050,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03814300003,2012-01-30T00:00:00.000,19068,6,3,82.65,27.55,65
S03816600006,2012-01-30T00:00:00.000,19068,6,6,165.3,27.55,65
S03820700010,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03821100002,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03823300031,2012-01-31T00:00:00.000,19068,6,1,27.55,27.55,65
S03846000043,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03845800006,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03844300006,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03842900046,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03840600002,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03836900004,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03834200049,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03833700030,2012-01-31T00:00:00.000,19068,6,1,27.55,27.55,65
S03833300005,2012-01-31T00:00:00.000,19068,6,1,27.55,27.55,65
S03832600070,2012-01-31T00:00:00.000,19068,6,1,27.55,27.55,65
S03832300004,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03831200036,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03830200012,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03827800044,2012-01-31T00:00:00.000,19068,6,1,27.55,27.55,65
S03827700031,2012-01-31T00:00:00.000,19068,6,1,27.55,27.55,65
S03825300045,2012-01-31T00:00:00.000,19068,6,1,27.55,27.55,65
S03824800006,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03824600030,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03824300004,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03845700055,2012-01-31T00:00:00.000,19068,6,1,27.55,27.55,65
S03839400006,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03824700007,2012-01-31T00:00:00.000,19068,6,6,165.3,27.55,65
S03818200005,2012-01-31T00:00:00.000,19068,6,24,661.2,27.55,65
S03869200025,2012-02-01T00:00:00.000,19068,6,1,27.55,27.55,65
S03869700014,2012-02-01T00:00:00.000,19068,6,2,55.1,27.55,65
S03871500024,2012-02-01T00:00:00.000,19068,6,1,27.55,27.55,65
S03873000036,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03873800038,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03874200039,2012-02-01T00:00:00.000,19068,6,2,55.1,27.55,65
S03874300022,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03874700024,2012-02-01T00:00:00.000,19068,6,1,27.55,27.55,65
S03877300004,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03877500004,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03867100003,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03866800005,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03864500016,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03848400001,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03846800005,2012-02-01T00:00:00.000,19068,6,3,82.65,27.55,65
S03840100004,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03869100004,2012-02-01T00:00:00.000,19068,6,6,165.3,27.55,65
S03901000051,2012-02-02T00:00:00.000,19068,6,3,82.65,27.55,65
S03880400070,2012-02-02T00:00:00.000,19068,6,108,2975.4,27.55,65
S03885300006,2012-02-02T00:00:00.000,19068,6,6,165.3,27.55,65
S03891100064,2012-02-02T00:00:00.000,19068,6,6,165.3,27.55,65
S03902600037,2012-02-02T00:00:00.000,19068,6,12,330.6,27.55,65
S03886500004,2012-02-02T00:00:00.000,19068,6,6,165.3,27.55,65
S03892700007,2012-02-02T00:00:00.000,19068,6,6,165.3,27.55,65
S03894500006,2012-02-02T00:00:00.000,19068,6,6,165.3,27.55,65
S03898800003,2012-02-02T00:00:00.000,19068,6,6,165.3,27.55,65
S03899800069,2012-02-02T00:00:00.000,19068,6,2,55.1,27.55,65
S03936300015,2012-02-06T00:00:00.000,19068,6,6,165.3,27.55,65
S03937400021,2012-02-06T00:00:00.000,19068,6,6,165.3,27.55,65
S03938000016,2012-02-06T00:00:00.000,19068,6,3,82.65,27.55,65
S03912100005,2012-02-06T00:00:00.000,19068,6,6,165.3,27.55,65
S03914900027,2012-02-06T00:00:00.000,19068,6,6,165.3,27.55,65
S03915200024,2012-02-06T00:00:00.000,19068,6,12,330.6,27.55,65
